user_id,business_id,stars
ec8f38aa91755dcf5837020d022ad384,ecaa90564e18dca1c7b653038f71d6bf,1.0
64fe4dd0a489c9b96a3e8d7fbd337888,ef118bb0ae1fc369e1f47d1b34f6acee,5.0
a49909b39426ebb3538aa837b5b88840,e8b182a923810d52981aa02d56dde799,5.0
a56726d5676d647e42e2aca54f21b075,250040e979eae9ef5912aa5a1d285e4e,5.0
3e19d8260e655ba87bea0922bac92266,e02880faf4d42fe1df7bd370fb1c787b,4.0
6ed1da4f67b67da5647f7fef90354323,378d30681edaf514199cd7c35729e5d3,5.0
aede31b1cea9dbbd2f8ac9ac91e3882a,349fb4d1489804e43fb00effa77d9d0f,4.0
546593a268039fed81618e4ad873d485,8276c2017cf441dd85bf31224d741064,2.0
df740f783e93988fed5231c7b929c798,2e64cedc021d145d44c866fc33e1e9b2,5.0
5df7c77d57e310a08fc8754a64e7f52c,82dfc54f64e7a14414295979bfa121ba,5.0
f1003cfc66fa4696dfdd97d7127c186b,9ddfdef90c4f4bd2a8b88dfe12fcecd0,3.0
bcba2bfe7d84b57c3cdd53eb81170f84,4d5f9e6eda3f61adc43f142efd1c6e87,5.0
4addb7c38855fe3019cd68e7af004fb5,15a4d57adba13074756d28e9f446a8cc,5.0
d21428d802fc10ea8173f1b03ec92ccf,98fe8628ca7b8893e4d2dc57113d18a1,5.0
14c8f78c52e46fc2ee7b6738ede432b3,81b439d119fb59fbd7c02078c92853b8,5.0
d09c54d22cc277b404443ebab312e17e,2311894278a7ae59ee86bd3b0395102d,4.0
b68934dfd12d1234fa1e70946ef0dc21,2c9db41de424f601a9beaf8fe3441f60,4.0
a902c0bcf2a80567f688dadeeead2a49,3cfaa260509aaee7ab1c448dc89179d3,5.0
484c3312139023a46a14ddc263b43074,15642628b41038a7202854f621f61b94,5.0
f1003cfc66fa4696dfdd97d7127c186b,c11dae6478817afb157efb28d7e5ab87,5.0
9f78653ccb00279d3cd1ef3bcae4fc7f,a880b907869ad81fdc1b2ead1af12125,5.0
66fa61ab9ba631a5b4c7fd7b032b8eba,62cb5d3ac5a534a58bbb211f36c99421,2.0
4d1b4aad4e756ccf5ef76eec4599f0a4,b72f2a3832a94ba3ce7aa0bcab1aa3dd,4.0
b24617ce9505106d2eb748d4eb5d454b,9d13ca2d7ce85ba93a75b5e4b1d2f222,4.0
98c1b03eb6a621c9fb913cd657030788,0204f821b8037c09707c057654c51ae0,3.0
606d9f18c3fc66d6ccd566ae85ad479a,f39a737eabed585e95010c88c61d6207,4.0
51a71452a67c49d17ff5efac1afb0701,4a41543356e45c1dcde815dc48885996,3.0
5b18423120fc737f6a394b714d0c0e75,6b06be58bb18720a5c33d8d7710c9804,4.0
45cfd7d5fb9f91a7f8887752f8277546,01008c0f6fd2cd5ea2d57da94b149fd4,5.0
7f1653144884a53bed0f792f01a2b372,2535090614f1150613d727126383d872,5.0
620fcd4b80abb2af1634013b99bca31b,d03c3b675d30433a4d152be35020134c,3.0
